Frame,Tipo_objeto,Confianza,ID_Tracking,x1,y1,x2,y2,Matrícula,Confianza_Matrícula,mx1,my1,mx2,my2,Texto_Matrícula
1002,car,0.88,26,1490,328,1732,470,LEE,0.11,146,90,194,103,LEE
1003,car,0.85,26,1484,328,1718,466,1E,0.01,140,87,187,100,1E
1004,car,0.84,22,1071,297,1185,391,473,0.31,37,64,66,73,473
1004,car,0.81,26,1479,328,1703,462,BRT,0.01,132,85,179,98,BRT
1005,car,0.85,26,1473,329,1691,459,E12,0.06,127,82,174,95,E12
1006,car,0.85,26,1468,327,1679,458,HEEZS,0.03,122,82,167,94,HEEZS
1007,car,0.80,22,1063,298,1180,394,FO,0.09,36,66,69,74,FO
1007,car,0.86,26,1461,324,1667,455,RJ,0.06,119,85,163,96,RJ
1008,car,0.88,26,1456,322,1656,450,IE,0.12,114,85,158,96,IE
1009,car,0.85,22,1057,297,1179,398,T0,0.01,36,68,70,76,T0
1010,car,0.86,22,1053,297,1178,400,22X,0.11,38,69,71,78,22X
1012,car,0.81,22,1044,295,1177,403,CDF,0.08,40,73,75,82,CDF
1012,car,0.83,26,1436,323,1617,441,4L4,0.08,101,77,141,88,4L4
1013,car,0.86,22,1041,295,1174,405,T363,0.01,39,73,75,83,T363
1013,car,0.83,26,1432,324,1607,438,42S,0.13,98,75,137,85,42S
1014,car,0.82,22,1036,294,1174,406,B00,0.11,41,75,77,85,B00
1015,car,0.82,22,1032,293,1172,407,3DC4,0.10,40,78,78,87,3DC4
1015,car,0.89,26,1424,325,1592,435,0EU,0.08,91,69,130,80,0EU
1016,car,0.86,22,1026,293,1171,409,PE1,0.59,45,79,81,89,PE1
1017,car,0.86,22,1021,292,1170,410,B,0.89,46,80,82,91,B
1017,car,0.86,26,1415,324,1577,431,L4,0.21,88,66,125,77,L4
1018,car,0.80,22,1016,292,1168,412,0414,0.11,45,81,84,92,0414
1018,car,0.86,26,1412,324,1569,429,WI,0.22,84,65,121,74,WI
1019,car,0.81,22,1014,291,1166,413,IEIE,0.07,43,83,82,94,IEIE
1020,car,0.85,26,1405,322,1555,425,Q,0.27,82,64,116,74,Q
